"p","w","t"
"0.49999999999999994","36","960"
"0.49999999999999994","37","870"
"0.49999999999999994","38","990"
"0.49999999999999994","39","950"
"0.49999999999999994","40","970"
"0.49999999999999994","41","830"
"0.49999999999999994","42","1100"
"0.49999999999999994","43","1030"
"0.49999999999999994","44","1340"
"0.49999999999999994","45","1020"
"0.49999999999999994","46","880"
"0.49999999999999994","47","1070"
"0.49999999999999994","48","1120"
"0.49999999999999994","49","1250"
"0.5499999999999999","2","20"
"0.5499999999999999","3","130"
"0.5499999999999999","4","100"
"0.5499999999999999","5","100"
"0.5499999999999999","6","150"
"0.5499999999999999","7","130"
"0.5499999999999999","8","250"
"0.5499999999999999","9","240"
"0.5499999999999999","10","250"
"0.5499999999999999","11","180"
"0.5499999999999999","12","310"
"0.5499999999999999","13","280"
"0.5499999999999999","14","280"
"0.5499999999999999","15","430"
"0.5499999999999999","16","310"
"0.5499999999999999","17","290"
"0.5499999999999999","18","450"
"0.5499999999999999","19","580"
"0.5499999999999999","20","440"
"0.5499999999999999","21","880"
"0.5499999999999999","22","570"
"0.5499999999999999","23","800"
"0.5499999999999999","24","410"
"0.5499999999999999","25","710"
"0.5499999999999999","26","560"
"0.5499999999999999","27","720"
"0.5499999999999999","28","720"
"0.5499999999999999","29","870"
"0.5499999999999999","30","850"
"0.5499999999999999","31","650"
"0.5499999999999999","32","980"
"0.5499999999999999","33","1150"
"0.5499999999999999","34","880"
"0.5499999999999999","35","940"
"0.5499999999999999","36","1040"
"0.5499999999999999","37","950"
"0.5499999999999999","38","1200"
"0.5499999999999999","39","1180"
"0.5499999999999999","40","910"
"0.5499999999999999","41","840"
"0.5499999999999999","42","1270"
"0.5499999999999999","43","930"
"0.5499999999999999","44","1520"
"0.5499999999999999","45","1380"
"0.5499999999999999","46","1280"
"0.5499999999999999","47","1510"
"0.5499999999999999","48","1630"
"0.5499999999999999","49","1540"
"0.6","2","70"
"0.6","3","70"
"0.6","4","90"
"0.6","5","270"
"0.6","6","130"
"0.6","7","180"
"0.6","8","280"
"0.6","9","170"
"0.6","10","370"
"0.6","11","330"
"0.6","12","350"
"0.6","13","550"
"0.6","14","330"
"0.6","15","500"
"0.6","16","400"
"0.6","17","590"
"0.6","18","650"
"0.6","19","480"
"0.6","20","640"
"0.6","21","910"
"0.6","22","680"
"0.6","23","920"
"0.6","24","680"
"0.6","25","730"
"0.6","26","780"
"0.6","27","930"
"0.6","28","1070"
"0.6","29","690"
"0.6","30","1080"
"0.6","31","790"
"0.6","32","990"
"0.6","33","1180"
"0.6","34","1190"
"0.6","35","1170"
"0.6","36","950"
"0.6","37","1400"
"0.6","38","1140"
"0.6","39","980"
"0.6","40","1010"
"0.6","41","1380"
"0.6","42","1370"
"0.6","43","1270"
"0.6","44","1550"
"0.6","45","1450"
"0.6","46","1460"
"0.6","47","2050"
"0.6","48","1390"
"0.6","49","1050"
"0.65","2","110"
"0.65","3","70"
"0.65","4","50"
"0.65","5","280"
"0.65","6","70"
"0.65","7","180"
"0.65","8","210"
"0.65","9","220"
"0.65","10","400"
"0.65","11","390"
"0.65","12","540"
"0.65","13","440"
"0.65","14","870"
"0.65","15","560"
"0.65","16","550"
"0.65","17","1080"
"0.65","18","670"
"0.65","19","920"
"0.65","20","510"
"0.65","21","700"
"0.65","22","760"
"0.65","23","790"
"0.65","24","930"
"0.65","25","670"
"0.65","26","1100"
"0.65","27","910"
"0.65","28","1370"
"0.65","29","1250"
"0.65","30","1080"
"0.65","31","1420"
"0.65","32","1160"
"0.65","33","1380"
"0.65","34","1410"
"0.65","35","1430"
"0.65","36","1610"
"0.65","37","1450"
"0.65","38","1400"
"0.65","39","1230"
"0.65","40","1400"
"0.65","41","1530"
"0.65","42","1320"
"0.65","43","1650"
